Profile 1;Profile 1;Fit;Fit;
x;y;x;y;
[m];[m];[m];[m];
0;1.6195869e-006;0;1.8816845e-006;
1.8523467e-006;1.6268044e-006;1.8523467e-006;1.8816845e-006;
3.7046933e-006;1.2872772e-006;3.7046933e-006;1.8816845e-006;
5.55704e-006;1.2917099e-006;5.55704e-006;1.8816845e-006;
7.4093867e-006;1.2821045e-006;7.4093867e-006;1.8816845e-006;
9.2617333e-006;1.3361664e-006;9.2617333e-006;1.8816845e-006;
1.111408e-005;1.6374512e-006;1.111408e-005;1.8816845e-006;
1.2966427e-005;1.6563339e-006;1.2966427e-005;1.8816845e-006;
1.4818773e-005;1.6740379e-006;1.4818773e-005;1.8816845e-006;
1.667112e-005;1.7024269e-006;1.667112e-005;1.8816845e-006;
1.8523467e-005;1.724411e-006;1.8523467e-005;1.8816845e-006;
2.0375813e-005;1.7471008e-006;2.0375813e-005;1.8816845e-006;
2.222816e-005;1.7369957e-006;2.222816e-005;1.8816845e-006;
2.4080507e-005;1.6810493e-006;2.4080507e-005;1.8816845e-006;
2.5932853e-005;1.6689262e-006;2.5932853e-005;1.8816845e-006;
2.77852e-005;1.66716e-006;2.77852e-005;1.8816845e-006;
2.9637547e-005;1.6000137e-006;2.9637547e-005;1.8816845e-006;
3.1489893e-005;1.6633263e-006;3.1489893e-005;1.8816845e-006;
3.334224e-005;1.6513786e-006;3.334224e-005;1.8816845e-006;
3.5194587e-005;1.6683464e-006;3.5194587e-005;1.8816845e-006;
3.7046933e-005;1.6961937e-006;3.7046933e-005;1.8816845e-006;
3.889928e-005;1.6845322e-006;3.889928e-005;1.8816845e-006;
4.0751627e-005;1.6878777e-006;4.0751627e-005;1.8816845e-006;
4.2603973e-005;1.7011833e-006;4.2603973e-005;1.8816845e-006;
4.445632e-005;1.7053299e-006;4.445632e-005;1.8816845e-006;
4.6308667e-005;1.6957207e-006;4.6308667e-005;1.8816845e-006;
4.8161013e-005;1.6657562e-006;4.8161013e-005;1.8816845e-006;
5.001336e-005;1.6673927e-006;5.001336e-005;1.8816845e-006;
5.1865707e-005;1.671669e-006;5.1865707e-005;1.8816845e-006;
5.3718053e-005;1.3474274e-006;5.3718053e-005;1.8816845e-006;
5.55704e-005;1.5570755e-006;5.55704e-005;1.8816845e-006;
5.7422747e-005;1.5619698e-006;5.7422747e-005;1.8816845e-006;
5.9275093e-005;1.5970383e-006;5.9275093e-005;1.8816845e-006;
6.112744e-005;1.582325e-006;6.112744e-005;1.8816845e-006;
6.2979787e-005;1.4156342e-006;6.2979787e-005;1.8816845e-006;
6.4832133e-005;1.3943596e-006;6.4832133e-005;1.8816845e-006;
6.668448e-005;1.3850021e-006;6.668448e-005;1.8816845e-006;
6.8536827e-005;1.4070549e-006;6.8536827e-005;1.8816845e-006;
7.0389173e-005;1.479187e-006;7.0389173e-005;1.8816845e-006;
7.224152e-005;1.5225525e-006;7.224152e-005;1.8816845e-006;
7.4093867e-005;1.5493279e-006;7.4093867e-005;1.8816845e-006;
7.5946213e-005;1.5743942e-006;7.5946213e-005;1.8816845e-006;
7.779856e-005;1.5748291e-006;7.779856e-005;1.8816845e-006;
7.9650907e-005;1.5320587e-006;7.9650907e-005;1.8816845e-006;
8.1503253e-005;1.5607529e-006;8.1503253e-005;1.8816845e-006;
8.33556e-005;1.5906715e-006;8.33556e-005;1.8816845e-006;
8.5207947e-005;1.5832787e-006;8.5207947e-005;1.8816845e-006;
8.7060293e-005;1.6169014e-006;8.7060293e-005;1.8816845e-006;
8.891264e-005;1.4468422e-006;8.891264e-005;1.8816845e-006;
9.0764987e-005;1.4406738e-006;9.0764987e-005;1.8816845e-006;
9.2617333e-005;1.5911102e-006;9.2617333e-005;1.8816845e-006;
9.446968e-005;1.6373749e-006;9.446968e-005;1.8816845e-006;
9.6322027e-005;1.3781967e-006;9.6322027e-005;1.8816845e-006;
9.8174373e-005;1.3599701e-006;9.8174373e-005;1.8816845e-006;
0.00010002672;1.3263206e-006;0.00010002672;1.8816845e-006;
0.00010187907;1.5882072e-006;0.00010187907;1.8816845e-006;
0.00010373141;1.781868e-006;0.00010373141;1.8816845e-006;
0.00010558376;1.7506981e-006;0.00010558376;1.8816845e-006;
0.00010743611;1.7215462e-006;0.00010743611;1.8816845e-006;
0.00010928845;1.6587944e-006;0.00010928845;1.8816845e-006;
0.0001111408;1.6385155e-006;0.0001111408;1.8816845e-006;
0.00011299315;1.6442261e-006;0.00011299315;1.8816845e-006;
0.00011484549;1.6625366e-006;0.00011484549;1.8816845e-006;
0.00011669784;1.6773071e-006;0.00011669784;1.8816845e-006;
0.00011855019;1.67239e-006;0.00011855019;1.8816845e-006;
0.00012040253;1.6775627e-006;0.00012040253;1.8816845e-006;
0.00012225488;1.6856766e-006;0.00012225488;1.8816845e-006;
0.00012410723;1.6668892e-006;0.00012410723;1.8816845e-006;
0.00012595957;1.6395645e-006;0.00012595957;1.8816845e-006;
0.00012781192;1.6651611e-006;0.00012781192;1.8816845e-006;
0.00012966427;1.6981964e-006;0.00012966427;1.8816845e-006;
0.00013151661;1.7219315e-006;0.00013151661;1.8816845e-006;
0.00013336896;1.7377663e-006;0.00013336896;1.8816845e-006;
0.00013522131;1.7323761e-006;0.00013522131;1.8816845e-006;
0.00013707365;1.7300987e-006;0.00013707365;1.8816845e-006;
0.000138926;1.6969528e-006;0.000138926;1.8816845e-006;
0.00014077835;1.6648598e-006;0.00014077835;1.8816845e-006;
0.00014263069;1.5831184e-006;0.00014263069;1.8816845e-006;
0.00014448304;1.6376686e-006;0.00014448304;1.8816845e-006;
0.00014633539;1.6406898e-006;0.00014633539;1.8816845e-006;
0.00014818773;1.6449852e-006;0.00014818773;1.8816845e-006;
0.00015004008;1.3983192e-006;0.00015004008;1.8816845e-006;
0.00015189243;1.3377151e-006;0.00015189243;1.8816845e-006;
0.00015374477;1.0405769e-006;0.00015374477;1.8816845e-006;
0.00015559712;1.0484505e-006;0.00015559712;1.8816845e-006;
0.00015744947;8.8418961e-007;0.00015744947;1.8816845e-006;
0.00015930181;9.0008163e-007;0.00015930181;1.8816845e-006;
0.00016115416;9.012146e-007;0.00016115416;1.8816845e-006;
0.00016300651;8.992424e-007;0.00016300651;1.8816845e-006;
0.00016485885;8.9670944e-007;0.00016485885;1.8816845e-006;
0.0001667112;1.0677872e-006;0.0001667112;1.8816845e-006;
0.00016856355;1.1377983e-006;0.00016856355;1.8816845e-006;
0.00017041589;1.3651733e-006;0.00017041589;1.8816845e-006;
0.00017226824;1.6830673e-006;0.00017226824;1.8816845e-006;
0.00017412059;1.7746277e-006;0.00017412059;1.8816845e-006;
0.00017597293;1.8058662e-006;0.00017597293;1.8816845e-006;
0.00017782528;1.8536148e-006;0.00017782528;1.8816845e-006;
0.00017967763;1.8418083e-006;0.00017967763;1.8816845e-006;
0.00018152997;1.7633972e-006;0.00018152997;1.8816845e-006;
0.00018338232;1.7501488e-006;0.00018338232;1.8816845e-006;
0.00018523467;1.7764664e-006;0.00018523467;1.8816845e-006;
0.00018708701;1.7927971e-006;0.00018708701;1.8816845e-006;
0.00018893936;1.7566185e-006;0.00018893936;1.8816845e-006;
0.00019079171;1.7130737e-006;0.00019079171;1.8816845e-006;
0.00019264405;1.6975441e-006;0.00019264405;1.8816845e-006;
0.0001944964;1.6826439e-006;0.0001944964;1.8816845e-006;
0.00019634875;1.6922379e-006;0.00019634875;1.8816845e-006;
0.00019820109;1.7121811e-006;0.00019820109;1.8816845e-006;
0.00020005344;1.7549133e-006;0.00020005344;1.8816845e-006;
0.00020190579;1.7541618e-006;0.00020190579;1.8816845e-006;
0.00020375813;1.7723885e-006;0.00020375813;1.8816845e-006;
0.00020561048;1.7480736e-006;0.00020561048;1.8816845e-006;
0.00020746283;1.6381416e-006;0.00020746283;1.8816845e-006;
0.00020931517;1.6852226e-006;0.00020931517;1.8816845e-006;
0.00021116752;1.7106705e-006;0.00021116752;1.8816845e-006;
0.00021301987;1.7203064e-006;0.00021301987;1.8816845e-006;
0.00021487221;1.7147598e-006;0.00021487221;1.8816845e-006;
0.00021672456;1.6816902e-006;0.00021672456;1.8816845e-006;
0.00021857691;1.615757e-006;0.00021857691;1.8816845e-006;
0.00022042925;1.7576981e-006;0.00022042925;1.8816845e-006;
0.0002222816;1.7437706e-006;0.0002222816;1.8816845e-006;
0.00022413395;1.7915726e-006;0.00022413395;1.8816845e-006;
0.00022598629;1.5660172e-006;0.00022598629;1.8816845e-006;
0.00022783864;1.8464661e-006;0.00022783864;1.8816845e-006;
0.00022969099;1.7690468e-006;0.00022969099;1.8816845e-006;
0.00023154333;2.0379372e-006;0.00023154333;1.8816845e-006;
0.00023339568;1.6310654e-006;0.00023339568;1.8816845e-006;
0.00023524803;1.5848923e-006;0.00023524803;1.8816845e-006;
0.00023710037;1.4158745e-006;0.00023710037;1.8816845e-006;
0.00023895272;1.6098862e-006;0.00023895272;1.8816845e-006;
0.00024080507;1.6668625e-006;0.00024080507;1.8816845e-006;
0.00024265741;1.668396e-006;0.00024265741;1.8816845e-006;
0.00024450976;1.7938576e-006;0.00024450976;1.8816845e-006;
0.00024636211;1.2825966e-006;0.00024636211;1.8816845e-006;
0.00024821445;1.6417236e-006;0.00024821445;1.8816845e-006;
0.0002500668;1.6324997e-006;0.0002500668;1.8816845e-006;
0.00025191915;1.6175003e-006;0.00025191915;1.8816845e-006;
0.00025377149;1.7956429e-006;0.00025377149;1.8816845e-006;
0.00025562384;1.6814575e-006;0.00025562384;1.8816845e-006;
0.00025747619;1.6520386e-006;0.00025747619;1.8816845e-006;
0.00025932853;1.5292435e-006;0.00025932853;1.8816845e-006;
0.00026118088;1.581852e-006;0.00026118088;1.8816845e-006;
0.00026303323;1.5811729e-006;0.00026303323;1.8816845e-006;
0.00026488557;1.5758667e-006;0.00026488557;1.8816845e-006;
0.00026673792;1.5741501e-006;0.00026673792;1.8816845e-006;
0.00026859027;2.7313538e-006;0.00026859027;1.8816845e-006;
0.00027044261;2.3815422e-006;0.00027044261;1.8816845e-006;
0.00027229496;3.0354881e-006;0.00027229496;1.8816845e-006;
0.00027414731;2.8210831e-006;0.00027414731;1.8816845e-006;
0.00027599965;3.0714226e-006;0.00027599965;1.8816845e-006;
0.000277852;2.5293655e-006;0.000277852;1.8816845e-006;
0.00027970435;2.0445595e-006;0.00027970435;1.8816845e-006;
0.00028155669;1.4557724e-006;0.00028155669;1.8816845e-006;
0.00028340904;1.6497269e-006;0.00028340904;1.8816845e-006;
0.00028526139;1.6907158e-006;0.00028526139;1.8816845e-006;
0.00028711373;1.6773224e-006;0.00028711373;1.8816845e-006;
0.00028896608;1.3295822e-006;0.00028896608;1.8816845e-006;
0.00029081843;1.5617638e-006;0.00029081843;1.2761165e-006;
0.00029267077;1.5690422e-006;0.00029267077;1.2761165e-006;
0.00029452312;1.5687752e-006;0.00029452312;1.2761165e-006;
0.00029637547;1.5175514e-006;0.00029637547;1.2761165e-006;
0.00029822781;1.5202026e-006;0.00029822781;1.2761165e-006;
0.00030008016;1.4976845e-006;0.00030008016;1.2761165e-006;
0.00030193251;1.2085762e-006;0.00030193251;1.2761165e-006;
0.00030378485;1.4853897e-006;0.00030378485;1.2761165e-006;
0.0003056372;8.6013412e-007;0.0003056372;1.2761165e-006;
0.00030748955;1.4235077e-006;0.00030748955;1.2761165e-006;
0.00030934189;1.3959732e-006;0.00030934189;1.2761165e-006;
0.00031119424;1.0683746e-006;0.00031119424;1.2761165e-006;
0.00031304659;1.3888702e-006;0.00031304659;1.2761165e-006;
0.00031489893;1.3329697e-006;0.00031489893;1.2761165e-006;
0.00031675128;1.3996277e-006;0.00031675128;1.2761165e-006;
0.00031860363;1.3972282e-006;0.00031860363;1.2761165e-006;
0.00032045597;1.3862419e-006;0.00032045597;1.2761165e-006;
0.00032230832;1.384552e-006;0.00032230832;1.2761165e-006;
0.00032416067;1.3317642e-006;0.00032416067;1.2761165e-006;
0.00032601301;1.3255386e-006;0.00032601301;1.2761165e-006;
0.00032786536;1.3017731e-006;0.00032786536;1.2761165e-006;
0.00032971771;1.2912178e-006;0.00032971771;1.2761165e-006;
0.00033157005;1.28685e-006;0.00033157005;1.2761165e-006;
0.0003334224;1.2949677e-006;0.0003334224;1.2761165e-006;
0.00033527475;1.2844849e-006;0.00033527475;1.2761165e-006;
0.00033712709;1.2663651e-006;0.00033712709;1.2761165e-006;
0.00033897944;1.2614861e-006;0.00033897944;1.2761165e-006;
0.00034083179;1.2551231e-006;0.00034083179;1.2761165e-006;
0.00034268413;1.2462769e-006;0.00034268413;1.2761165e-006;
0.00034453648;1.2611084e-006;0.00034453648;1.2761165e-006;
0.00034638883;1.2643356e-006;0.00034638883;1.2761165e-006;
0.00034824117;1.263443e-006;0.00034824117;1.2761165e-006;
0.00035009352;1.2947426e-006;0.00035009352;1.2761165e-006;
0.00035194587;1.3141518e-006;0.00035194587;1.2761165e-006;
0.00035379821;1.3058243e-006;0.00035379821;1.2761165e-006;
0.00035565056;1.254158e-006;0.00035565056;1.2761165e-006;
0.00035750291;1.2506218e-006;0.00035750291;1.2761165e-006;
0.00035935525;1.2386742e-006;0.00035935525;1.2761165e-006;
0.0003612076;1.2566833e-006;0.0003612076;1.2761165e-006;
0.00036305995;1.2806206e-006;0.00036305995;1.2761165e-006;
0.00036491229;1.2664909e-006;0.00036491229;1.2761165e-006;
0.00036676464;1.2457428e-006;0.00036676464;1.2761165e-006;
0.00036861699;1.2924004e-006;0.00036861699;1.2761165e-006;
0.00037046933;1.2688141e-006;0.00037046933;1.2761165e-006;
0.00037232168;1.3083153e-006;0.00037232168;1.2761165e-006;
0.00037417403;1.3088493e-006;0.00037417403;1.2761165e-006;
0.00037602637;1.3248177e-006;0.00037602637;1.2761165e-006;
0.00037787872;1.3284225e-006;0.00037787872;1.2761165e-006;
0.00037973107;1.3247452e-006;0.00037973107;1.2761165e-006;
0.00038158341;1.3165855e-006;0.00038158341;1.2761165e-006;
0.00038343576;1.3137245e-006;0.00038343576;1.2761165e-006;
0.00038528811;1.0320168e-006;0.00038528811;1.2761165e-006;
0.00038714045;1.3460083e-006;0.00038714045;1.2761165e-006;
0.0003889928;1.468998e-006;0.0003889928;1.2761165e-006;
0.00039084515;9.9563217e-007;0.00039084515;1.2761165e-006;
0.00039269749;1.3337669e-006;0.00039269749;1.2761165e-006;
0.00039454984;1.3932724e-006;0.00039454984;1.2761165e-006;
0.00039640219;1.3912506e-006;0.00039640219;1.2761165e-006;
0.00039825453;1.2942162e-006;0.00039825453;1.2761165e-006;
0.00040010688;1.318573e-006;0.00040010688;1.2761165e-006;
0.00040195923;1.3842392e-006;0.00040195923;1.2761165e-006;
0.00040381157;1.3819237e-006;0.00040381157;1.8816845e-006;
0.00040566392;1.3693695e-006;0.00040566392;1.8816845e-006;
0.00040751627;1.3731995e-006;0.00040751627;1.8816845e-006;
0.00040936861;1.3962708e-006;0.00040936861;1.8816845e-006;
0.00041122096;1.1016617e-006;0.00041122096;1.8816845e-006;
0.00041307331;1.4300461e-006;0.00041307331;1.8816845e-006;
0.00041492565;2.2478142e-006;0.00041492565;1.8816845e-006;
0.000416778;2.0409203e-006;0.000416778;1.8816845e-006;
0.00041863035;2.3672142e-006;0.00041863035;1.8816845e-006;
0.00042048269;1.6215858e-006;0.00042048269;1.8816845e-006;
0.00042233504;1.4619904e-006;0.00042233504;1.8816845e-006;
0.00042418739;1.493515e-006;0.00042418739;1.8816845e-006;
0.00042603973;1.4544373e-006;0.00042603973;1.8816845e-006;
0.00042789208;1.8381538e-006;0.00042789208;1.8816845e-006;
0.00042974443;1.5810127e-006;0.00042974443;1.8816845e-006;
0.00043159677;1.0803642e-006;0.00043159677;1.8816845e-006;
0.00043344912;1.0662613e-006;0.00043344912;1.8816845e-006;
0.00043530147;2.1422043e-006;0.00043530147;1.8816845e-006;
0.00043715381;2.1132011e-006;0.00043715381;1.8816845e-006;
0.00043900616;1.9823837e-006;0.00043900616;1.8816845e-006;
0.00044085851;1.9815331e-006;0.00044085851;1.8816845e-006;
0.00044271085;1.9154816e-006;0.00044271085;1.8816845e-006;
0.0004445632;1.880825e-006;0.0004445632;1.8816845e-006;
0.00044641555;1.8252068e-006;0.00044641555;1.8816845e-006;
0.00044826789;1.8036842e-006;0.00044826789;1.8816845e-006;
0.00045012024;1.7801666e-006;0.00045012024;1.8816845e-006;
0.00045197259;1.7311172e-006;0.00045197259;1.8816845e-006;
0.00045382493;1.7877769e-006;0.00045382493;1.8816845e-006;
0.00045567728;1.8232918e-006;0.00045567728;1.8816845e-006;
0.00045752963;1.8372345e-006;0.00045752963;1.8816845e-006;
0.00045938197;1.8784904e-006;0.00045938197;1.8816845e-006;
0.00046123432;2.0077515e-006;0.00046123432;1.8816845e-006;
0.00046308667;2.01931e-006;0.00046308667;1.8816845e-006;
0.00046493901;2.0206108e-006;0.00046493901;1.8816845e-006;
0.00046679136;2.1214561e-006;0.00046679136;1.8816845e-006;
0.00046864371;2.1596527e-006;0.00046864371;1.8816845e-006;
0.00047049605;2.1722527e-006;0.00047049605;1.8816845e-006;
0.0004723484;2.2290421e-006;0.0004723484;1.8816845e-006;
0.00047420075;2.2288895e-006;0.00047420075;1.8816845e-006;
0.00047605309;2.2475433e-006;0.00047605309;1.8816845e-006;
0.00047790544;2.2432365e-006;0.00047790544;1.8816845e-006;
0.00047975779;2.2377319e-006;0.00047975779;1.8816845e-006;
0.00048161013;2.2386017e-006;0.00048161013;1.8816845e-006;
0.00048346248;2.2119026e-006;0.00048346248;1.8816845e-006;
0.00048531483;2.2319641e-006;0.00048531483;1.8816845e-006;
0.00048716717;2.2961464e-006;0.00048716717;1.8816845e-006;
0.00048901952;2.3106308e-006;0.00048901952;1.8816845e-006;
0.00049087187;2.3224182e-006;0.00049087187;1.8816845e-006;
0.00049272421;2.344326e-006;0.00049272421;1.8816845e-006;
0.00049457656;2.3497009e-006;0.00049457656;1.8816845e-006;
0.00049642891;2.3938179e-006;0.00049642891;1.8816845e-006;
0.00049828125;2.6880264e-006;0.00049828125;1.8816845e-006;
0.0005001336;2.4744606e-006;0.0005001336;1.8816845e-006;
0.00050198595;1.9842377e-006;0.00050198595;1.8816845e-006;
0.00050383829;2.2883759e-006;0.00050383829;1.8816845e-006;
0.00050569064;1.6984901e-006;0.00050569064;1.8816845e-006;
0.00050754299;1.4415627e-006;0.00050754299;1.8816845e-006;
0.00050939533;1.7210312e-006;0.00050939533;1.8816845e-006;
0.00051124768;1.6716805e-006;0.00051124768;1.8816845e-006;
0.00051310003;1.6663246e-006;0.00051310003;1.8816845e-006;
0.00051495237;1.7022438e-006;0.00051495237;1.8816845e-006;
0.00051680472;1.7058182e-006;0.00051680472;1.8816845e-006;
0.00051865707;1.7502556e-006;0.00051865707;1.8816845e-006;
0.00052050941;1.7686996e-006;0.00052050941;1.8816845e-006;
0.00052236176;1.795742e-006;0.00052236176;1.8816845e-006;
0.00052421411;1.7892303e-006;0.00052421411;1.8816845e-006;
0.00052606645;1.7811241e-006;0.00052606645;1.8816845e-006;
0.0005279188;1.786087e-006;0.0005279188;1.8816845e-006;
0.00052977115;1.8081169e-006;0.00052977115;1.8816845e-006;
0.00053162349;1.576046e-006;0.00053162349;1.8816845e-006;
0.00053347584;1.7307663e-006;0.00053347584;1.8816845e-006;
0.00053532819;1.7324715e-006;0.00053532819;1.8816845e-006;
0.00053718053;1.722065e-006;0.00053718053;1.8816845e-006;
0.00053903288;1.7206535e-006;0.00053903288;1.8816845e-006;
0.00054088523;1.6926918e-006;0.00054088523;1.8816845e-006;
0.00054273757;1.7106743e-006;0.00054273757;1.8816845e-006;
0.00054458992;1.6751289e-006;0.00054458992;1.8816845e-006;
0.00054644227;1.7087669e-006;0.00054644227;1.8816845e-006;
0.00054829461;1.7508812e-006;0.00054829461;1.8816845e-006;
0.00055014696;1.7513428e-006;0.00055014696;1.8816845e-006;
0.00055199931;1.7327423e-006;0.00055199931;1.8816845e-006;
0.00055385165;1.7181854e-006;0.00055385165;1.8816845e-006;
0.000555704;1.7219315e-006;0.000555704;1.8816845e-006;
0.00055755635;1.7003021e-006;0.00055755635;1.8816845e-006;
0.00055940869;1.676609e-006;0.00055940869;1.8816845e-006;
0.00056126104;1.711853e-006;0.00056126104;1.8816845e-006;
0.00056311339;1.7482643e-006;0.00056311339;1.8816845e-006;
0.00056496573;1.7480202e-006;0.00056496573;1.8816845e-006;
0.00056681808;1.7079315e-006;0.00056681808;1.8816845e-006;
0.00056867043;1.6848831e-006;0.00056867043;1.8816845e-006;
0.00057052277;1.7224503e-006;0.00057052277;1.8816845e-006;
0.00057237512;1.7270355e-006;0.00057237512;1.8816845e-006;
0.00057422747;1.7291756e-006;0.00057422747;1.8816845e-006;
0.00057607981;1.7249184e-006;0.00057607981;1.8816845e-006;
0.00057793216;1.7373466e-006;0.00057793216;1.8816845e-006;
0.00057978451;1.6685486e-006;0.00057978451;1.8816845e-006;
0.00058163685;1.6777878e-006;0.00058163685;1.8816845e-006;
0.0005834892;1.6992683e-006;0.0005834892;1.8816845e-006;
0.00058534155;1.7934914e-006;0.00058534155;1.8816845e-006;
0.00058719389;1.7976112e-006;0.00058719389;1.8816845e-006;
0.00058904624;1.7775345e-006;0.00058904624;1.8816845e-006;
0.00059089859;1.7704239e-006;0.00059089859;1.8816845e-006;
0.00059275093;1.7873116e-006;0.00059275093;1.8816845e-006;
0.00059460328;1.7900047e-006;0.00059460328;1.8816845e-006;
0.00059645563;1.778511e-006;0.00059645563;1.8816845e-006;
0.00059830797;1.7892342e-006;0.00059830797;1.8816845e-006;
0.00060016032;1.7818146e-006;0.00060016032;1.8816845e-006;
0.00060201267;1.7658463e-006;0.00060201267;1.8816845e-006;
0.00060386501;1.7490501e-006;0.00060386501;1.8816845e-006;
0.00060571736;1.7634964e-006;0.00060571736;1.8816845e-006;
0.00060756971;1.7700653e-006;0.00060756971;1.8816845e-006;
0.00060942205;1.7701721e-006;0.00060942205;1.8816845e-006;
0.0006112744;1.7867012e-006;0.0006112744;1.8816845e-006;
0.00061312675;1.775238e-006;0.00061312675;1.8816845e-006;
0.00061497909;1.7618332e-006;0.00061497909;1.8816845e-006;
0.00061683144;1.7787094e-006;0.00061683144;1.8816845e-006;
0.00061868379;1.7833023e-006;0.00061868379;1.8816845e-006;
0.00062053613;1.7984848e-006;0.00062053613;1.8816845e-006;
0.00062238848;1.7848015e-006;0.00062238848;1.8816845e-006;
0.00062424083;1.7781792e-006;0.00062424083;1.8816845e-006;
0.00062609317;1.7694283e-006;0.00062609317;1.8816845e-006;
0.00062794552;1.748291e-006;0.00062794552;1.8816845e-006;
0.00062979787;1.7051811e-006;0.00062979787;1.8816845e-006;
0.00063165021;1.7094421e-006;0.00063165021;1.8816845e-006;
0.00063350256;1.7115936e-006;0.00063350256;1.8816845e-006;
0.00063535491;1.736412e-006;0.00063535491;1.8816845e-006;
0.00063720725;1.7093582e-006;0.00063720725;1.8816845e-006;
